release_number,release_title,track_number,track_title,artist,lyrics_status
"213","Tus Ojos","1","Tus Ojos","Iyari Gomez","Letras sin formato Letras sincronizadas"
"214","Ultima Página","1","Ultima Página","Iyari Gomez","Letras sin formato Letras sincronizadas"
"215","Vale","1","Vale","Iyari Gomez","Letras sin formato Letras sincronizadas"
"216","Vale","1","Fuego","Iyari Gomez","Letras sin formato Letras sincronizadas"
"216","Vale","2","Natural","Iyari Gomez","Letras sin formato Letras sincronizadas"
"217","VeroH","1","VeroH","Iyari Gomez","Letras sin formato Letras sincronizadas"
"218","Vian","1","Vian","Iyari Gomez","Letras sin formato Letras sincronizadas"
"219","Vibration","1","Vibration","Iyari Gomez","Letras sin formato Letras sincronizadas"
"220","Viento","1","Viento","Iyari Gomez","Letras sin formato Letras sincronizadas"
"221","Vinculo","1","Vinculo","Iyari Gomez","Letras sin formato Letras sincronizadas"
"222","Viuda Negra","1","Viuda Negra","Iyari Gomez","Letras sin formato Letras sincronizadas"
"223","Warp","1","Warp","Iyari Gomez","Letras sin formato Letras sincronizadas"
"224","Whispers","1","Whispers","Iyari Gomez","Letras sin formato Letras sincronizadas"
"225","whit Fire","1","whit Fire","Iyari Gomez","Letras sin formato Letras sincronizadas"
"226","Wild","1","Wild","Iyari Gomez","Letras sin formato Letras sincronizadas"
"227","Wind Reggae","1","Wind Reggae","Iyari Gomez","Letras sin formato Letras sincronizadas"
"228","Ya se respira mejor","1","Ya se respira mejor","Iyari Gomez","Letras sin formato Letras sincronizadas"
"229","Yaneth","1","Seriesita Mendez","Iyari Gomez","Letras sin formato Letras sincronizadas"
"229","Yaneth","2","Yaneth la Seriesita","Iyari Gomez","Letras sin formato Letras sincronizadas"
"230","Your Hands","1","Your Hands","Iyari Gomez","Letras sin formato Letras sincronizadas"
